,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,FUNCSTAT,2010,2011,2012,2013,2014,2015,2016
91,Skagway,Skagway,AK,Alaska,2240,Southeast Fairbanks,62.7231,-141.1881,A,7071,7144,7179,7001,6968,6826,6876
92,Chicken,Chicken,AK,Alaska,2261,Valdez-Cordova,62.0844,-146.092,A,9657,9737,9729,9764,9453,9308,9355
93,Chisana,Chisana,AK,Alaska,2275,Wrangell,56.3319,-132.0221,A,2370,2381,2402,2417,2376,2400,2411
94,Meyers Chuck,Meyers Chuck,AK,Alaska,2282,Yakutat,59.5665,-139.5966,A,661,654,657,643,642,620,601
95,Yakutat,Yakutat,AK,Alaska,2290,Yukon-Koyukuk,65.0933,-150.8772,A,5587,5728,5728,5658,5548,5541,5526
96,Galena,Galena,AZ,Arizona,4001,Apache,34.5018,-109.3784,A,71761,72391,72968,72021,72034,71594,73112
97,Chambers,Chambers,AZ,Arizona,4003,Cochise,31.4384,-110.0979,A,131807,132960,131843,129554,127321,126395,125770
98,Nicksville,Nicksville,AZ,Arizona,4005,Coconino,35.1872,-111.6195,A,134624,134186,135999,136641,137695,139076,140908
99,Page,Page,AZ,Arizona,4007,Gila,34.2611,-111.2197,A,53539,53486,53036,53039,53124,53138,53556
100,Midland City,Midland City,AZ,Arizona,4009,Graham,33.1806,-110.1865,A,37140,37083,36958,37401,38013,37673,37599
101,Cactus Flat,Cactus Flat,AZ,Arizona,4011,Greenlee,32.9175,-109.196,A,8338,8585,8763,8905,9315,9525,9613
102,Clifton,Clifton,AZ,Arizona,4012,La Paz,34.2009,-114.2089,A,20449,20496,20365,20379,20313,20147,20317
103,La Paz Valley,La Paz Valley,AZ,Arizona,4013,Maricopa,33.6872,-111.865,A,3825616,3870806,3942959,4011219,4083931,4161637,4242997
104,Paradise Valley,Paradise Valley,AZ,Arizona,4015,Mohave,35.0667,-114.1166,A,200378,202635,203126,202622,202985,204165,205249
105,Mojave Ranch Estates,Mojave Ranch Estates,AZ,Arizona,4017,Navajo,35.9225,-110.6569,A,107714,107435,107037,107443,108178,108363,110026
106,Seba Dalkai,Seba Dalkai,AZ,Arizona,4019,Pima,32.3274,-111.2557,A,981927,987816,992490,996634,1003157,1008205,1016206
107,Maish Vaya,Maish Vaya,AZ,Arizona,4021,Pinal,33.0197,-112.0808,A,379400,378007,382259,384978,396024,406220,418540
108,Florence,Florence,AZ,Arizona,4023,Santa Cruz,31.3624,-110.9336,A,47409,47600,47321,46903,46387,46137,45985
109,Patagonia,Patagonia,AZ,Arizona,4025,Yavapai,34.5847,-112.5699,A,211139,211138,212350,215027,218405,221584,225562
